team_full,team_id,team_city
New Orleans Saints,NO,New Orleans
Buffalo Bills,BUF,Buffalo
Chicago Bears,CHI,Chicago
Houston Texans,HOU,Houston
Jacksonville Jaguars,JAX,Jacksonville
New England Patriots,NE,Foxborough
New York Giants,NYG,New York City
Philadelphia Eagles,PHI,Philadelphia
Pittsburgh Steelers,PIT,Pittsburgh
Seattle Seahawks,SEA,Seattle
St. Louis Rams,STL,St. Louis
Tampa Bay Buccaneers,TB,Tampa Bay
Tennessee Titans,TEN,Nashville
Washington Redskins,WAS,"Washington, D.C."
Kansas City Chiefs,KC,Kansas City
New York Jets,NYJ,New York City
Atlanta Falcons,ATL,Atlanta
Carolina Panthers,CAR,Charlotte
Cincinnati Bengals,CIN,Cincinnati
Cleveland Browns,CLE,Cleveland
Dallas Cowboys,DAL,Dallas
Denver Broncos,DEN,Denver
Detroit Lions,DET,Detroit
Green Bay Packers,GB,Green Bay
Indianapolis Colts,IND,Indianapolis
Minnesota Vikings,MIN,Minneapolis
Oakland Raiders,OAK,Oakland
San Diego Chargers,SD,San Diego
San Francisco 49ers,SF,San Francisco
Arizona Cardinals,ARI,Phoenix
Baltimore Ravens,BAL,Baltimore
Miami Dolphins,MIA,Miami
Los Angeles Rams,LAR,Los Angeles
Los Angeles Chargers,LAC,Los Angeles
